,Price,Size(m²),Price_per_m²
731,784.1,62.23,12.6
732,1000.0,83.7,11.95
733,1183.54,69.62,17.0
734,4360.0,172.0,25.35
735,530.0,20.5,25.85
736,433.62,60.72,7.14
737,1995.0,99.78,19.99
738,852.77,27.45,31.07
739,1443.0,84.78,17.02
740,1199.0,90.66,13.23
741,940.0,42.29,22.23
742,594.0,66.0,9.0
743,5981.0,225.0,26.58
744,2800.0,174.93,16.01
745,1126.14,98.0,11.49
746,901.51,53.03,17.0
747,1289.47,100.53,12.83
748,1149.0,30.77,37.34
749,790.0,82.0,9.63
750,1270.0,106.0,11.98
751,1039.0,41.56,25.0
752,640.0,102.97,6.22
753,1310.0,93.4,14.03
754,510.0,64.19,7.95
755,822.0,59.0,13.93
756,1650.0,73.0,22.6
