base_rent,qm,plz,street,rent_per_qm,data_set
1500,83.67,12053,Jonasstra&szlig;e,17.93,immoscout
980,58.3,10557,Lehrter Stra&szlig;e,16.81,immoscout
925,50.2,10179,Wallstrasse,18.43,immoscout
4000,195,10963,no_information,20.51,immoscout
485,42.5,10318,Riastra&szlig;e,11.41,immoscout
1272.3,95.7,14193,Lynarstr.,13.29,immoscout
674.5,61.28,10785,Potsdamer Str.,11.01,immoscout
1131.3,65.85,10243,Warschauer Stra&szlig;e,17.18,immoscout
475.5,55.64,10315,Ribbecker Stra&szlig;e,8.55,immoscout
1755,80,10785,Sch&ouml;neberger Ufer,21.94,immoscout
1032,102.65,13595,Adamstr.,10.05,immoscout
1522.08,84.56,10243,Warschauer Stra&szlig;e,18.00,immoscout
1332,135.63,14052,Frankenallee,9.82,immoscout
1469,129.18,10785,Potsdamer Str.,11.37,immoscout
1100,80,10179,no_information,13.75,immoscout
1500,95,13507,Neheimer Str.,15.79,immoscout
1100,61.91,14199,Helene-Jacobs-Str.,17.77,immoscout
1400,66.4,10785,Sch&ouml;neberger Ufer,21.08,immoscout
400,35,14195,no_information,11.43,immoscout
500,59,12559,Salvador-Allende-Stra&szlig;e,8.47,immoscout
1245,60,10557,no_information,20.75,immoscout
1498,82,10557,no_information,18.27,immoscout
1073,32,10557,Heidestra&szlig;e,33.53,immoscout
1230,58,10557,no_information,21.21,immoscout
1573,67,10179,Stallschreiberstra&szlig;e,23.48,immoscout
1348,60,10557,no_information,22.47,immoscout
2000,210,13053,no_information,9.52,immoscout
1697,83,10557,no_information,20.45,immoscout
799,36,12555,Lindenstra&szlig;e,22.19,immoscout
847,30,12277,Malteserstra&szlig;e,28.23,immoscout
760,29.12,12555,Lindenstra&szlig;e,26.10,immoscout
999,52,12277,Malteserstra&szlig;e,19.21,immoscout
1450,85.31,10179,no_information,17.00,immoscout
1198,55.02,10777,Geisbergstra&szlig;e,21.77,immoscout
2100,139.75,13585,no_information,15.03,immoscout
521,32,10245,Gabriel-Max-Stra&szlig;e,16.28,immoscout
1291,54.61,10317,L&uuml;ckstra&szlig;e,23.64,immoscout
909,82,10965,Kreuzbergstra&szlig;e,11.09,immoscout
1100,72,10559,L&uuml;becker Str.,15.28,immoscout
490,70.21,13403,Schillingstrasse,6.98,immoscout
2225,90,10117,no_information,24.72,immoscout
3264,167.36,10785,Genthiner Stra&szlig;e,19.50,immoscout
2190,112.27,10785,Genthiner Stra&szlig;e,19.51,immoscout
3111,160,10785,Genthiner Stra&szlig;e,19.44,immoscout
952,68,13189,Prenzlauer Promenade,14.00,immoscout
675,32,10587,Loschmidtstra&szlig;e,21.09,immoscout
2050,108.5,10179,Wallstra&szlig;e,18.89,immoscout
690,69,14109,Seylerstrasse,10.00,immoscout
695,32,10557,Klopstockstra&szlig;e,21.72,immoscout
1200,59,10629,Wilmersdorfer Str.,20.34,immoscout
1800,94,10785,Flottwellstrasse,19.15,immoscout
1188,66,10407,K&auml;the-Nieder-Kirchner-Str.,18.00,immoscout
360,36,13595,Zimmerstra&szlig;e,10.00,immoscout
1370,70,12209,no_information,19.57,immoscout
1050,80,13505,Sandhauser Stra&szlig;e,13.13,immoscout
338.33,41,12057,Aronsstr.,8.25,immoscout
580.05,101,13595,J&auml;gerstr.,5.74,immoscout
1045,62,10243,Karl-Marx-Allee,16.85,immoscout
361.92,60,13589,Falkenseer Chaussee,6.03,immoscout
668.22,86,13435,no_information,7.77,immoscout
2717.13,194,10707,no_information,14.01,immoscout
1340,120,13156,Tschaikowskistra&szlig;e,11.17,immoscout
520,39.4,13583,Viersenerstra&szlig;e,13.20,immoscout
698,38.78,13086,Goethestra&szlig;e,18.00,immoscout
1100,86.98,13583,Viersener Stra&szlig;e,12.65,immoscout
1150,122,12277,Marienfelder Allee,9.43,immoscout
1625,137.31,12055,Schudomastra&szlig;e,11.83,immoscout
1787,119,10178,Berolinastr.,15.02,immoscout
751.48,71.57,12555,Uhlenhorster Str.,10.50,immoscout
1148.96,71.81,13187,Florastra&szlig;e,16.00,immoscout
1400,85,10317,Gis&egrave;le-Freund-Hain,16.47,immoscout
650,25,13089,Romain-Rolland-Strasse,26.00,immoscout
1600,105,10707,Uhland,15.24,immoscout
1695,98,13355,Lichtburgring,17.30,immoscout
2148,143.13,10551,Wilhelmshavener Str.,15.01,immoscout
1580,96.12,10115,Linienstra&szlig;e,16.44,immoscout
2190,98,10119,Brunnenstra&szlig;e,22.35,immoscout
780.3,45,12555,Gr&uuml;nstra&szlig;e,17.34,immoscout
969.6,64.64,10585,Otto-Suhr-Allee,15.00,immoscout
427,50.26,12555,Flemmingstra&szlig;e,8.50,immoscout
999,54,10555,no_information,18.50,immoscout
2312,136,10777,no_information,17.00,immoscout
1484,53,10777,no_information,28.00,immoscout
252.81,48.5,13055,Gro&szlig;e-Leege-Str.,5.21,immoscout
4790,171.8,10777,no_information,27.88,immoscout
459.9,82.5,13053,Gehrenseestr.,5.57,immoscout
951.76,91,13055,G&auml;rtnerstra&szlig;e,10.46,immoscout
358.83,57,13055,Konrad-Wolf-Str.,6.30,immoscout
304.05,50.5,13051,Am Berl,6.02,immoscout
294.03,48.5,13055,Wriezener Str.,6.06,immoscout
975,84.3,12559,Am Schlossberg,11.57,immoscout
1422,149,13439,no_information,9.54,immoscout
577.03,58,13587,Zum Erlengrund,9.95,immoscout
649,48.43,12051,Silbersteinstra&szlig;e,13.40,immoscout
1029,77.48,12107,Lauberhornweg,13.28,immoscout
689,56.36,13127,La-Rochelle-Stra&szlig;e,12.22,immoscout
1309.66,59.53,10115,Invalidenstrasse,22.00,immoscout
2274.98,71.09,10115,Invalidenstrasse,32.00,immoscout
1577.34,68.58,10115,Invalidenstrasse,23.00,immoscout
1020,67,13086,Goethestr.,15.22,immoscout
2091.94,65.37,10115,Invalidenstrasse,32.00,immoscout
1577.34,68.58,10115,Invalidenstrasse,23.00,immoscout
1605.82,50.18,10115,Invalidenstrasse,32.00,immoscout
1664,104.1,10245,Siegfried-Hirschmann-Park,15.98,immoscout
882.34,97,13129,Krugstege,9.10,immoscout
850,62.69,12683,no_information,13.56,immoscout
400,38.88,12357,Kornblumenring,10.29,immoscout
1027.86,70.62,10117,Krausenstra&szlig;e,14.55,immoscout
1000,70,12167,Karl-Stieler-Stra&szlig;e,14.29,immoscout
1509.98,110.91,10117,Sch&uuml;tzenstra&szlig;e,13.61,immoscout
1514.49,114.8,10117,Sch&uuml;tzenstra&szlig;e,13.19,immoscout
